╰─ kgp -A                                                                                                                                                                          ─╯
NAMESPACE     NAME                                  READY   STATUS    RESTARTS   AGE
kube-system   aws-node-bc84q                        2/2     Running   0          89s
kube-system   aws-node-k79kl                        2/2     Running   0          86m
kube-system   aws-node-lvs88                        2/2     Running   0          86m
kube-system   cluster-autoscaler-84b78468b9-qxz54   1/1     Running   0          18m
kube-system   coredns-6b94694fcb-2jhm2              1/1     Running   0          87m
kube-system   coredns-6b94694fcb-ld5t7              1/1     Running   0          87m
kube-system   kube-proxy-9z5p8                      1/1     Running   0          89s
kube-system   kube-proxy-fz86p                      1/1     Running   0          86m
kube-system   kube-proxy-prkf2                      1/1     Running   0          86m
udacity       bloaty-mcbloatface-9d8f7c958-24dkv    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-5jw6v    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-64dd4    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-64n7x    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-dgdx4    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-flxjr    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-gnm2t    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-k6795    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-ldkl5    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-mbn65    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-mklgt    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-njkbw    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-q5m4k    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-rg9fx    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-tqvvh    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-vpnz4    1/1     Running   0          14m
udacity       bloaty-mcbloatface-9d8f7c958-wzrwd    1/1     Running   0          14m
udacity       blue-68f654b6f9-4xzm9                 1/1     Running   0          73m
udacity       blue-68f654b6f9-dpvxh                 1/1     Running   0          73m
udacity       blue-68f654b6f9-vmf8m                 1/1     Running   0          73m
udacity       canary-v1-58cb5c49d-869p2             1/1     Running   0          73m
udacity       canary-v1-58cb5c49d-ggm28             1/1     Running   0          73m
udacity       canary-v1-58cb5c49d-qf8kp             1/1     Running   0          73m
udacity       canary-v1-58cb5c49d-r8252             1/1     Running   0          73m
udacity       canary-v1-58cb5c49d-xd6w5             1/1     Running   0          73m
udacity       canary-v2-55647dff9d-7jn2k            1/1     Running   0          63m
udacity       canary-v2-55647dff9d-cqxzt            1/1     Running   0          63m
udacity       canary-v2-55647dff9d-kdgwb            1/1     Running   0          68m
udacity       canary-v2-55647dff9d-ntgxg            1/1     Running   0          64m
udacity       canary-v2-55647dff9d-z6v9n            1/1     Running   0          63m
udacity       green-7f5d485fc7-h82fl                1/1     Running   0          39m
udacity       green-7f5d485fc7-v8wr4                1/1     Running   0          39m
udacity       green-7f5d485fc7-wjqdx                1/1     Running   0          39m
udacity       hello-world-844c8ccbb-t25fr           1/1     Running   0          74m
